C_junc, pgrad: 2.58282062500001E+17, value: 1e-15, delta: 1.00000000000000E-16, new_val: 9.00000000000000E-16
C_junc, pchange: 25.8282062500001, cchange: 0.04825999999999997
C_junc_sw, pgrad: 1.37657106481482E+18, value: 2.5e-16, delta: 2.50000000000000E-17, new_val: 2.25000000000000E-16
C_junc_sw, pchange: 34.4142766203705, cchange: 0.1641200000000005
l_phy, pgrad: 0, value: 0.053, delta: 0, new_val: 0.0530000000000000
l_phy, pchange: 0, cchange: 0.0


C_g_ideal, pgrad: 38282842304444.0, value: 8.45e-16, delta: 8.45000000000000E-17, new_val: 7.60500000000000E-16
C_g_ideal, pchange: 0.00323490017472552, cchange: 0.23480000000000079
C_fringe, pgrad: 191367128909258, value: 8e-17, delta: 8.00000000000000E-18, new_val: 7.20000000000000E-17
C_fringe, pchange: 0.00153093703127407, cchange: 0.07086000000000059
C_junc, pgrad: 25828206250000.1, value: 1e-15, delta: 1.00000000000000E-16, new_val: 9.00000000000000E-16
C_junc, pchange: 0.00258282062500001, cchange: 0.04825999999999997
C_junc_sw, pgrad: 137657106481482, value: 2.5e-16, delta: 2.50000000000000E-17, new_val: 2.25000000000000E-16
C_junc_sw, pchange: 0.00344142766203705, cchange: 0.1641200000000005
l_phy, pgrad: 0, value: 0.053, delta: 0, new_val: 0.0530000000000000
l_phy, pchange: 0, cchange: 0.0
l_elec, pgrad: 0, value: 0.0354, delta: 0, new_val: 0.0354000000000000
l_elec, pchange: 0, cchange: 0.0


C_g_ideal, pgrad: 38282.8423044440, value: 8.45e-16, delta: 8.45000000000000E-17, new_val: 7.60500000000000E-16
C_g_ideal, pchange: 3.23490017472551E-12, cchange: 0.23480000000000079
C_fringe, pgrad: 191367.128909258, value: 8e-17, delta: 8.00000000000000E-18, new_val: 7.20000000000000E-17
C_fringe, pchange: 1.53093703127407E-12, cchange: 0.07086000000000059
C_junc, pgrad: 25828.2062500001, value: 1e-15, delta: 1.00000000000000E-16, new_val: 9.00000000000000E-16
C_junc, pchange: 2.58282062500001E-12, cchange: 0.04825999999999997


C_g_ideal, pgrad: 38282.8423044440, value: 8.45e-16, delta: 8.45000000000000E-18, new_val: 8.36550000000000E-16
